,Model,N_Neighbors,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
kNN: n_neighbours=3.00,kNN,3,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5597451581522146,402.2399778261177,337920.37844093976,0.5585707868580085
kNN: n_neighbours=4.00,kNN,4,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5760840465390615,396.11771086820863,325449.4658368602,0.5748616810721423
kNN: n_neighbours=5.00,kNN,5,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5846881503601777,393.1851405611566,318930.13133948896,0.5833779614771933
kNN: n_neighbours=6.00,kNN,6,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5891042369457427,391.38299334780123,315602.1602497904,0.5877253277599335
kNN: n_neighbours=7.00,kNN,7,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5907270395500057,390.81717864715665,314392.0757090213,0.5893060748848375
kNN: n_neighbours=8.00,kNN,8,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5919470673736402,390.69427771283034,313464.06117582694,0.5905183507678793
kNN: n_neighbours=9.00,kNN,9,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5923717145116121,390.83137325824595,313152.5430135375,0.5909252904673828
kNN: n_neighbours=10.00,kNN,10,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5923888151381034,391.11629261756303,313163.62370728207,0.5909108156317919
kNN: n_neighbours=11.00,kNN,11,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5915751479133224,391.58436710650045,313818.5227689621,0.5900553135788569
kNN: n_neighbours=12.00,kNN,12,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5907781719013097,391.9781120547599,314441.6745022405,0.58924128342016
kNN: n_neighbours=13.00,kNN,13,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5901799895867998,392.3963480256275,314923.138424025,0.5886123416524864
kNN: n_neighbours=14.00,kNN,14,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5893208670438248,392.9868934435271,315599.9043023725,0.5877282747295662
kNN: n_neighbours=15.00,kNN,15,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5882236237944101,393.553302944523,316465.7790882968,0.5865971727013503
